Device_ID,IMEI,WiFi MAC ID,Charger Cable Connected,Charging,Button Test,Battery Percentage,NOR Flash Test,EEPROM Test,EEPROM ERASE Test,GPS Test,RTC Test,Scanner 1 Test,Scanner 2 Test,WiFi Test,Validity,Board Test Result,TimeStamp,Server,Product code,Start_up packet,Health packet,comm_mode,comm_mode,wifi_fw_ver,firmware_version,hardware_version,communication_mode,BLE Scanner,Lora Scanner,Application Test Result
GSWCL00089,8.67689E+14,08:3A:8D:2A:F8:7C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:16:49,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00090,8.67689E+14,D4:D4:DA:20:3D:EC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:13:25,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00091,8.67689E+14,08:3A:8D:2A:F9:44,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:23:32,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00092,8.67689E+14,08:3A:8D:2A:F9:A4,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:06:26,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00093,8.67689E+14,D4:D4:DA:20:3D:F4,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:47:33,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00094,8.67689E+14,D4:D4:DA:20:3D:34,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:12:38,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00095,8.67689E+14,08:3A:8D:2A:F7:8C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:15:51,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00096,8.67689E+14,08:3A:8D:2A:F8:AC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:56:20,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00097,8.67689E+14,D4:D4:DA:20:3D:F8,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:07:21,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00098,8.67689E+14,D4:D4:DA:20:3D:88,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:07:35,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00099,8.67689E+14,08:3A:8D:2A:F8:48,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:20:41,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00100,8.67689E+14,D4:D4:DA:20:3E:44,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:12:05,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
