Device_ID,User Switch,Flash,Temperature Sensor,Temperature,Humidity,Radio,Sleep Current (uA),Date
H4200307,1,1,1,29.5,49,1,3.0949943,13:02:2024 13:21:28
H4200308,1,1,1,28.9,53,1,3.0560303,13:02:2024 13:22:00
H4200309,1,1,1,30.3,42,1,3.6598049,13:02:2024 13:22:29
H4200310,1,1,1,29.9,44,1,3.9065904,13:02:2024 13:22:57
H4200311,1,1,1,29.5,48,1,3.0980063,13:02:2024 13:05:44
H4200312,1,1,1,29,52,1,3.6067355,13:02:2024 13:06:11
H4200313,1,1,1,28.4,44,1,3.393569,13:02:2024 13:06:38
H4200314,1,1,1,29.4,45,1,3.0070636,13:02:2024 13:07:17
H4200315,1,1,1,29.8,52,1,3.5400403,13:02:2024 13:07:46
H4200316,1,1,1,28.8,52,1,3.0004487,13:02:2024 13:08:16
H4200317,1,1,1,29.2,53,1,3.0600465,13:02:2024 13:09:02
H4200318,1,1,1,28.6,52,1,3.0550855,13:02:2024 13:09:34
H4200319,1,1,1,28.9,48,1,3.0057657,13:02:2024 13:10:08
H4200320,1,1,1,29.3,38,1,3.8407304,13:02:2024 13:10:40
H4200321,1,1,1,29.9,44,1,3.853799,13:02:2024 13:02:15
H4200322,1,1,1,30.2,44,1,3.9943906,13:02:2024 13:01:39
H4200323,1,1,1,29.2,53,1,3.305908,13:02:2024 13:01:07
H4200324,1,1,1,28.9,53,1,3.0869559,13:02:2024 13:00:35
H4200325,1,1,1,28.7,52,1,3.6570847,13:02:2024 13:02:46
H4200326,1,1,1,29.7,50,1,3.7009334,13:02:2024 13:04:48
H4200327,1,1,1,28.6,45,1,3.9084373,13:02:2024 13:04:17
H4200328,1,1,1,28.1,52,1,3.6905666,13:02:2024 13:03:45
H4200329,1,1,1,28.7,42,1,3.0997493,13:02:2024 13:03:14
H4200330,1,1,1,29,52,1,3.7003477,13:02:2024 09:56:23
H4200331,1,1,1,28.6,47,1,3.339333,13:02:2024 13:11:33
H4200332,1,1,1,28.7,49,1,3.9605796,13:02:2024 13:12:03
H4200333,1,1,1,29.1,50,1,3.3006343,13:02:2024 13:12:51
H4200334,1,1,1,29.3,45,1,3.5706047,13:02:2024 13:13:22
H4200335,1,1,1,29.3,49,1,3.8300665,13:02:2024 13:13:59
H4200336,1,1,1,29.4,47,1,3.0353903,13:02:2024 13:14:30
H4200337,1,1,1,29,51,1,3.6634098,13:02:2024 13:14:57
H4200338,1,1,1,28.9,46,1,3.067405,13:02:2024 13:15:42
H4200339,1,1,1,29.4,52,1,3.4490359,13:02:2024 13:16:18
H4200340,1,1,1,30.7,42,1,3.3000509,13:02:2024 13:16:50
H4200341,1,1,1,30.1,44,1,3.96086,13:02:2024 13:23:38
H4200342,1,1,1,29.9,44,1,3.596499,13:02:2024 13:24:05
H4200343,1,1,1,29.3,49,1,3.300379,13:02:2024 13:24:37
H4200344,1,1,1,29,54,1,3.806308,13:02:2024 13:25:11
H4200345,1,1,1,28.8,48,1,3.0706705,13:02:2024 13:25:44
H4200346,1,1,1,28.9,53,1,3.3009008,13:02:2024 13:26:22
H4200347,1,1,1,28.9,52,1,3.73643,13:02:2024 13:26:56
H4200348,1,1,1,28.6,51,1,3.063003,13:02:2024 13:27:26
H4200349,1,1,1,28.6,44,1,3.7343468,13:02:2024 13:28:13
H4200350,1,1,1,29.3,53,1,3.4708804,13:02:2024 13:28:51
H4200351,1,1,1,28.9,47,1,3.4808003,13:02:2024 12:56:28
H4200352,1,1,1,28.9,43,1,3.597748,13:02:2024 12:55:11
H4200353,1,1,1,29.6,50,1,3.7008046,13:02:2024 12:53:30
H4200354,1,1,1,28.8,48,1,3.040354,13:02:2024 12:54:27
H4200355,1,1,1,28.7,49,1,3.8800055,13:02:2024 12:59:29
H4200356,1,1,1,29,53,1,3.0637006,13:02:2024 12:58:58
H4200357,1,1,1,29.3,52,1,3.4065606,13:02:2024 12:58:26
H4200358,1,1,1,29.4,52,1,3.0098,13:02:2024 12:57:53
H4200359,1,1,1,29.1,53,1,3.660606,13:02:2024 13:00:03
H4200360,1,1,1,29.5,50,1,3.9640337,13:02:2024 13:30:28
H4200361,1,1,1,29.2,46,1,3.093649,13:02:2024 13:31:08
H4200362,1,1,1,29.2,45,1,3.0950085,13:02:2024 13:31:42
H4200363,1,1,1,28.7,48,1,3.0900008,13:02:2024 13:32:10
H4200364,1,1,1,29.9,44,1,3.875508,13:02:2024 13:32:52
H4200365,1,1,1,29.9,42,1,3.7097999,13:02:2024 13:33:22
